,systematic,retro_bias_zenith_track,retro_bias_zenith_cascade,retro_bias_energy_track,retro_bias_energy_cascade,retro_bias_azimuth_track,retro_bias_azimuth_cascade,retro_width_zenith_cascade,retro_width_zenith_track,retro_width_energy_track,retro_width_energy_cascade,retro_width_angular_res_track,retro_width_angular_res_cascade,dynedge_bias_zenith_track,dynedge_bias_zenith_cascade,dynedge_bias_energy_track,dynedge_bias_energy_cascade,dynedge_bias_azimuth_track,dynedge_bias_azimuth_cascade,dynedge_width_zenith_track,dynedge_width_zenith_cascade,dynedge_width_energy_track,dynedge_width_energy_cascade,dynedge_width_angular_res_track,dynedge_width_angular_res_cascade,dynedge_signal_auc,dynedge_track_auc,retro_signal_auc,retro_track_auc,retro_bias_XYZ_track,retro_bias_XYZ_cascade,retro_width_XYZ_track,retro_width_XYZ_cascade,dynedge_bias_XYZ_track,dynedge_bias_XYZ_cascade,dynedge_width_XYZ_track,dynedge_width_XYZ_cascade
0,0100,-1.568356278831729,-1.93041887665089,5.914887936346899,-4.570160441242539,-0.05422259956634434,-0.148620998611392,27.593378158554366,21.518778610857414,18.234866131322313,18.04874027743478,35.348681261770274,45.308270845401466,-2.56927590190503,-2.5652759506609897,8.79740877736161,-1.4764468205247923,-0.06343736249777976,0.14443564669825548,18.107453695257835,22.888495666460987,17.470420522230985,16.51227519838268,29.897562446885864,38.03491242983735,0.9613609118932853,0.7147812126377493,0.9244611775446993,0.6720731168917874,21.47554692110196,16.128669339421208,22.187227724292885,16.534479964137883,22.172847794140488,14.70782462902193,16.98433704189352,10.240144035668889
1,0152,1.6444079876539206,6.640091238186471,2.0723034829621647,-8.061340406474757,-0.05972014614349064,-0.10852402226851154,27.886077259250953,21.67652212972725,17.374749040265375,17.172247458512732,35.21386194547089,45.69124880437502,1.9622103438676959,6.709531484290949,3.9956543500150152,-5.136270826872074,-0.05675788962895467,0.17880437681074568,18.36697418720299,23.565452773490094,16.38636551147715,15.507749468296073,29.81732634530054,38.95921427134511,0.9622448995256503,0.7172598551745013,0.923187615643966,0.6706794879018965,21.86020970466794,16.028470821908996,22.714817275192992,16.4257171052154,22.524899171180795,14.780751017933346,17.738972841704744,10.286529451946215
2,0150,-0.2508450478665196,1.8185871070403152,3.9107518871020552,-8.562119238210089,-0.06101129958773299,-0.13789816774445285,28.0718133108492,21.738299173646514,17.36255159948815,16.943525077603127,34.36840599909013,44.42274222151225,-0.9298001866484782,1.23485389442655,6.109048176057106,-5.817722208656634,-0.07368438727955606,0.14088880946246718,18.22810119514463,23.288327426860796,16.36000119107264,15.257037453141534,29.185747722381233,37.46652075918706,0.9627487848753569,0.7182611283994772,0.9248179163182069,0.6707270757773051,21.46845005742651,15.857797261412674,22.3227414102454,16.392259138756526,22.463787931197565,14.745252457546272,17.239589307893052,10.320447581542332
3,0104,-1.000397023541936,-0.4765656272596601,1.9341138883257338,-7.616415579355891,-0.056803669380329325,-0.09002324344203316,27.53009891840367,21.1944789741518,16.900646514348438,17.139003673679127,34.70295572146373,45.17156852343088,-1.7679158936971504,-1.0064331799683828,4.089502601116145,-4.604613910964581,-0.07054779337036621,0.11559869300849357,17.787970248529035,22.845248870318738,15.968033767248041,15.513490881113913,29.24333799741941,37.90822899174772,0.9573204989801656,0.7231378532647209,0.9141153165605568,0.6785562069804499,22.00815357952647,16.105258084219486,22.85892890110648,16.546295575677757,22.670145988439362,14.73326518402914,17.758067450374035,10.24183561828277
4,0003,-0.6483157947162823,0.16019503974172267,7.266475999759077,-3.446652064159449,-0.041156681241915294,-0.138190087291008,27.570663528870057,21.56517769109346,18.856301424902906,18.45118736751084,35.487724590129446,45.25826017905755,-1.3249575379300182,-0.24957709877767797,10.378818946575382,-0.29883721975594263,-0.06203743910702997,0.19514729557354826,18.266510650335803,22.974585650228384,18.171284557083,16.97986191240041,30.051575534779765,38.043581939061156,0.964356954962295,0.7112018403788359,0.9275764025096938,0.6699829485590296,21.278750062713254,16.126312309976164,21.91154724109565,16.492356785343297,21.981974465308298,14.688239326267912,16.748365639800543,10.201141819432177
5,0001,-0.747343370722092,0.11154251217092792,2.5696545660933734,-7.534882720924618,-0.0676333854877953,-0.18571882531784922,27.488897910094614,21.20788865235022,17.17573476684877,17.14364372984057,34.88687866519495,45.131110724383724,-1.3911511720159524,-0.2909859727363937,4.837208505119618,-4.520782314617305,-0.06361929283912104,0.12480881917818465,17.864485284559084,22.84779362128549,16.28135018050661,15.536683490870399,29.34025464181143,37.90738098186277,0.9576687678400829,0.7209652847067076,0.915372687047185,0.6760825116372695,21.896587663451058,16.134688024236326,22.770306313093993,16.576664073384045,22.538495475150803,14.747905107879022,17.6318958460665,10.274648490166829
6,0151,-2.609244353005181,-4.122222639788021,6.061825855507312,-4.3893994711120925,-0.09722295099669509,-0.1628408242504804,27.963147068841607,21.889216353132074,17.983660119758778,18.014369418447114,35.22370047501789,45.22086264515695,-4.090341285376724,-5.1990922725677535,8.813588056659663,-1.4128787473345448,-0.09426348045717248,0.10182462686378813,18.30596160944982,23.189152448416994,17.11602106664433,16.43200967542538,29.988370828229336,38.16314281050093,0.9613225527456453,0.7157082916514597,0.9243342733796925,0.6720817253754829,21.442676255184264,15.962342919150394,22.14498849285315,16.497023172156428,22.343416881243158,14.722453356330012,16.933773075676775,10.247988229145667
7,0107,-1.3376541833967508,-1.484782071173811,6.824736538593859,-3.6750949386502065,-0.0535542907119293,-0.13951779004321452,27.606656528821045,21.557360481568026,18.64032542238533,18.38067111126227,35.54177567629445,45.40706965557959,-2.2393817104055103,-2.0509738275147527,9.89901727666508,-0.5169894480840193,-0.031228694534675583,0.16003592254239152,18.2021460924704,22.928067797060123,17.950654983077257,16.890385752175682,30.053725371008383,38.11115475194614,0.9618223818289997,0.7124024114852047,0.9260751722777556,0.670807261029539,21.395723038456847,16.170150234938717,22.039947049687747,16.55089655320519,22.07636755815259,14.70209920363615,16.844295864968956,10.243828992856214
8,0502,-0.44060658554533916,0.8306654922145782,4.428166417819276,-7.09812167244457,-0.07729034199755347,-0.17117089328272073,26.99440719052034,20.848532042353497,17.867302472274673,17.55713399840578,34.27234843362997,44.18669112851768,-1.0008429176518092,0.40262933208855145,6.953985591537235,-4.1101526678986495,-0.08674135577612674,0.1317308384975746,17.6976794779508,22.514441094781134,17.180032668177816,15.985213981776749,28.953482987194036,37.037682946566406,0.9616500493793951,0.7181241661031151,0.9225884671639306,0.6753460111597325,21.229577469911774,15.722697753542487,22.274663203439193,16.41794684284496,22.144171457717327,14.616325295446405,17.149922874712377,10.204060496538988
9,0500,-0.9040752074829754,-0.3616059792897772,5.127339035695959,-5.066187141684668,-0.07617920720583982,-0.08989359409230246,27.936250443776572,21.726118112037966,18.134251001067014,17.902868781546797,35.901849996443744,46.125465677500976,-1.6136380346440404,-0.8250281303065492,7.871304302626699,-1.9522270690938859,-0.09124789292766877,0.1645639015590632,18.248684899104557,23.187036512210078,17.39235694772264,16.381016609403805,30.222223991190248,38.82381191821813,0.9595489752851142,0.716319554177305,0.9198367919231124,0.6729337302534877,21.70835217545973,16.47035010976899,22.271922345862254,16.54305990044582,22.132878190932544,14.702129871426143,17.03007296469057,10.171805246127928
